compiler method cycles
gcc new 10161
icc new 1875
gcc malloc 3273
icc malloc 4258
gcc new 11706
icc new 1282
gcc malloc 3007
icc malloc 4148
gcc new 7834
icc new 1646
gcc malloc 3102
icc malloc 3564
gcc new 7513
icc new 1465
gcc malloc 4417
icc malloc 4022
gcc new 7369
icc new 1636
gcc malloc 3138
icc malloc 4729
gcc new 7588
icc new 1606
gcc malloc 3548
icc malloc 4408
gcc new 7742
icc new 1881
gcc malloc 4016
icc malloc 3508
gcc new 7742
icc new 1428
gcc malloc 3288
icc malloc 3866
gcc new 10716
icc new 1444
gcc malloc 3181
icc malloc 4555
gcc new 7629
icc new 1465
gcc malloc 3038
icc malloc 3576
gcc new 7803
icc new 1661
gcc malloc 3704
icc malloc 3805
gcc new 8840
icc new 1315
gcc malloc 3157
icc malloc 3695
gcc new 10936
icc new 1514
gcc malloc 3156
icc malloc 3429
gcc new 8222
icc new 1627
gcc malloc 5625
icc malloc 5750
gcc new 8986
icc new 1576
gcc malloc 3362
icc malloc 3545
gcc new 12526
icc new 1435
gcc malloc 3505
icc malloc 4066
gcc new 7491
icc new 1443
gcc malloc 3022
icc malloc 4322
gcc new 7228
icc new 1220
gcc malloc 3319
icc malloc 3793
gcc new 8216
icc new 1352
gcc malloc 3086
icc malloc 3536
gcc new 7289
icc new 1233
gcc malloc 2988
icc malloc 3643
gcc new 10388
icc new 1743
gcc malloc 3380
icc malloc 4282
gcc new 11483
icc new 2122
gcc malloc 3343
icc malloc 5145
gcc new 6788
icc new 1496
gcc malloc 3943
icc malloc 3803
gcc new 7736
icc new 1480
gcc malloc 3123
icc malloc 3756
gcc new 7378
icc new 1478
gcc malloc 3181
icc malloc 3982
gcc new 8576
icc new 1401
gcc malloc 4515
icc malloc 4968
gcc new 8852
icc new 1735
gcc malloc 3029
icc malloc 3549
gcc new 8106
icc new 1337
gcc malloc 2784
icc malloc 3842
gcc new 8369
icc new 1487
gcc malloc 2964
icc malloc 4215
gcc new 7846
icc new 1471
gcc malloc 3212
icc malloc 3509
gcc new 8216
icc new 1526
gcc malloc 4227
icc malloc 4891
gcc new 7663
icc new 1318
gcc malloc 3202
icc malloc 3417
gcc new 8342
icc new 1254
gcc malloc 3181
icc malloc 3628
gcc new 7886
icc new 1578
gcc malloc 3184
icc malloc 4016
gcc new 7552
icc new 1416
gcc malloc 4285
icc malloc 4502
gcc new 9776
icc new 1476
gcc malloc 3037
icc malloc 3340
gcc new 7513
icc new 1434
gcc malloc 2979
icc malloc 3640
gcc new 7375
icc new 1713
gcc malloc 3591
icc malloc 4133
gcc new 7721
icc new 1545
gcc malloc 3031
icc malloc 5757
gcc new 7317
icc new 1710
gcc malloc 3301
icc malloc 4059
gcc new 7586
icc new 1337
gcc malloc 3267
icc malloc 3478
gcc new 7975
icc new 1453
gcc malloc 3520
icc malloc 4875
gcc new 7992
icc new 1325
gcc malloc 3218
icc malloc 5347
gcc new 7995
icc new 2199
gcc malloc 3487
icc malloc 3515
gcc new 7307
icc new 1924
gcc malloc 3496
icc malloc 3634
gcc new 7253
icc new 2018
gcc malloc 3016
icc malloc 3998
gcc new 8256
icc new 1505
gcc malloc 3111
icc malloc 5038
gcc new 7647
icc new 1869
gcc malloc 3224
icc malloc 3808
gcc new 8106
icc new 1453
gcc malloc 3256
icc malloc 4243
gcc new 8295
icc new 1502
gcc malloc 3441
icc malloc 3520
gcc new 7680
icc new 1738
gcc malloc 3796
icc malloc 3734
gcc new 7852
icc new 1263
gcc malloc 3598
icc malloc 4331
gcc new 8020
icc new 1456
gcc malloc 3126
icc malloc 4985
gcc new 8440
icc new 1884
gcc malloc 3240
icc malloc 4283
gcc new 8387
icc new 1958
gcc malloc 3395
icc malloc 3802
gcc new 7690
icc new 1554
gcc malloc 3405
icc malloc 4567
gcc new 7665
icc new 1749
gcc malloc 3227
icc malloc 3778
gcc new 10269
icc new 1570
gcc malloc 3166
icc malloc 3428
gcc new 7699
icc new 1352
gcc malloc 3515
icc malloc 3937
gcc new 7650
icc new 1625
gcc malloc 3135
icc malloc 4182
gcc new 7929
icc new 2750
gcc malloc 2875
icc malloc 4169
gcc new 8739
icc new 1575
gcc malloc 3182
icc malloc 5062
gcc new 7155
icc new 1495
gcc malloc 3052
icc malloc 3569
gcc new 7553
icc new 1624
gcc malloc 3105
icc malloc 3600
gcc new 8081
icc new 1701
gcc malloc 3016
icc malloc 5041
gcc new 7595
icc new 1432
gcc malloc 3194
icc malloc 5182
gcc new 7735
icc new 1621
gcc malloc 3120
icc malloc 3848
gcc new 7950
icc new 1499
gcc malloc 4154
icc malloc 3569
gcc new 7323
icc new 1707
gcc malloc 3460
icc malloc 4515
gcc new 7953
icc new 1624
gcc malloc 3695
icc malloc 3389
gcc new 7274
icc new 1480
gcc malloc 3135
icc malloc 4444
gcc new 10520
icc new 1284
gcc malloc 3010
icc malloc 3606
gcc new 8001
icc new 1615
gcc malloc 3679
icc malloc 4068
gcc new 8320
icc new 2102
gcc malloc 2973
icc malloc 3646
gcc new 7522
icc new 1538
gcc malloc 3214
icc malloc 4096
gcc new 10219
icc new 1615
gcc malloc 3018
icc malloc 3858
gcc new 7506
icc new 2153
gcc malloc 3732
icc malloc 4283
gcc new 7531
icc new 1976
gcc malloc 4723
icc malloc 5145
gcc new 7509
icc new 1547
gcc malloc 3246
icc malloc 3754
gcc new 9641
icc new 1799
gcc malloc 3594
icc malloc 4677
gcc new 10742
icc new 1639
gcc malloc 3402
icc malloc 4689
gcc new 7356
icc new 1685
gcc malloc 3037
icc malloc 3793
gcc new 11327
icc new 1786
gcc malloc 3270
icc malloc 3359
gcc new 7831
icc new 1248
gcc malloc 3240
icc malloc 3438
gcc new 7907
icc new 1618
gcc malloc 3615
icc malloc 3318
gcc new 8148
icc new 1355
gcc malloc 3022
icc malloc 3441
gcc new 6842
icc new 1325
gcc malloc 3245
icc malloc 3686
gcc new 8299
icc new 1750
gcc malloc 2924
icc malloc 4456
gcc new 7268
icc new 1325
gcc malloc 3634
icc malloc 3606
gcc new 8244
icc new 1609
gcc malloc 3426
icc malloc 3781
gcc new 7384
icc new 1621
gcc malloc 3772
icc malloc 3215
gcc new 8898
icc new 1976
gcc malloc 3322
icc malloc 3854
gcc new 8173
icc new 2190
gcc malloc 2967
icc malloc 3720
gcc new 7806
icc new 1410
gcc malloc 3866
icc malloc 3799
gcc new 7867
icc new 1517
gcc malloc 3050
icc malloc 4790
gcc new 11324
icc new 1502
gcc malloc 3377
icc malloc 3692
gcc new 7564
icc new 1285
gcc malloc 3034
icc malloc 3365
gcc new 6925
icc new 1765
gcc malloc 3148
icc malloc 11575
gcc new 7182
icc new 1933
gcc malloc 3309
icc malloc 3689
gcc new 7381
icc new 1486
gcc malloc 3205
icc malloc 4227
gcc new 7293
icc new 1514
gcc malloc 2924
icc malloc 3970
gcc new 7121
icc new 1752
gcc malloc 3597
icc malloc 3533
gcc new 7032
icc new 1557
gcc malloc 2918
icc malloc 3870
gcc new 7048
icc new 1364
gcc malloc 3044
icc malloc 3401
gcc new 10718
icc new 1557
gcc malloc 2927
icc malloc 3494
gcc new 8234
icc new 1404
gcc malloc 3214
icc malloc 3576
gcc new 7852
icc new 1890
gcc malloc 2995
icc malloc 3337
gcc new 7699
icc new 1937
gcc malloc 3750
icc malloc 3560
gcc new 8152
icc new 1260
gcc malloc 3301
icc malloc 3753
gcc new 7344
icc new 1437
gcc malloc 3050
icc malloc 3762
gcc new 7350
icc new 1316
gcc malloc 3248
icc malloc 3549
gcc new 7219
icc new 1567
gcc malloc 3123
icc malloc 4016
gcc new 7660
icc new 2135
gcc malloc 3013
icc malloc 3273
gcc new 8100
icc new 1453
gcc malloc 3157
icc malloc 5224
gcc new 7748
icc new 1615
gcc malloc 3270
icc malloc 3492
gcc new 7166
icc new 1284
gcc malloc 3980
icc malloc 3793
gcc new 8192
icc new 1300
gcc malloc 2989
icc malloc 3374
gcc new 7852
icc new 1468
gcc malloc 3029
icc malloc 3398
gcc new 7797
icc new 1602
gcc malloc 3132
icc malloc 3569
gcc new 7265
icc new 1434
gcc malloc 3325
icc malloc 3757
gcc new 7249
icc new 1444
gcc malloc 3273
icc malloc 3677
gcc new 7836
icc new 1649
gcc malloc 3842
icc malloc 3407
gcc new 7717
icc new 1468
gcc malloc 3072
icc malloc 3566
gcc new 7800
icc new 1275
gcc malloc 2943
icc malloc 3597
gcc new 7788
icc new 1527
gcc malloc 3313
icc malloc 3481
gcc new 6851
icc new 1475
gcc malloc 3130
icc malloc 3245
gcc new 7763
icc new 1297
gcc malloc 3153
icc malloc 3453
gcc new 8796
icc new 1330
gcc malloc 3099
icc malloc 3924
gcc new 7412
icc new 2344
gcc malloc 3885
icc malloc 3567
gcc new 6972
icc new 1484
gcc malloc 3209
icc malloc 3612
gcc new 9751
icc new 1168
gcc malloc 3138
icc malloc 3530
gcc new 7644
icc new 1493
gcc malloc 3056
icc malloc 3756
gcc new 6931
icc new 1236
gcc malloc 3016
icc malloc 4662
gcc new 8278
icc new 1560
gcc malloc 2943
icc malloc 3591
gcc new 8106
icc new 1273
gcc malloc 3582
icc malloc 3805
gcc new 7794
icc new 1340
gcc malloc 3579
icc malloc 3625
gcc new 7372
icc new 1215
gcc malloc 3088
icc malloc 3475
gcc new 7427
icc new 1284
gcc malloc 3276
icc malloc 3673
gcc new 7510
icc new 1474
gcc malloc 3101
icc malloc 3646
gcc new 9419
icc new 1578
gcc malloc 3166
icc malloc 3224
gcc new 10510
icc new 1285
gcc malloc 3052
icc malloc 3377
gcc new 7781
icc new 1566
gcc malloc 3190
icc malloc 3695
gcc new 8390
icc new 1273
gcc malloc 3389
icc malloc 3472
gcc new 7960
icc new 1475
gcc malloc 3224
icc malloc 3545
gcc new 8197
icc new 1725
gcc malloc 3059
icc malloc 4273
gcc new 7751
icc new 1734
gcc malloc 3255
icc malloc 3514
gcc new 7442
icc new 1502
gcc malloc 3083
icc malloc 4105
gcc new 7555
icc new 1321
gcc malloc 3163
icc malloc 3658
gcc new 7350
icc new 1319
gcc malloc 3830
icc malloc 4616
gcc new 7405
icc new 1395
gcc malloc 3346
icc malloc 3842
gcc new 7351
icc new 1759
gcc malloc 3228
icc malloc 3429
gcc new 8436
icc new 1734
gcc malloc 3511
icc malloc 3551
gcc new 8959
icc new 1493
gcc malloc 3056
icc malloc 3845
gcc new 8006
icc new 1863
gcc malloc 3165
icc malloc 3845
gcc new 7439
icc new 1762
gcc malloc 3261
icc malloc 3667
gcc new 8235
icc new 1804
gcc malloc 3144
icc malloc 3624
gcc new 7390
icc new 1450
gcc malloc 3068
icc malloc 3768
gcc new 8067
icc new 1746
gcc malloc 3077
icc malloc 3588
gcc new 7788
icc new 1358
gcc malloc 12242
icc malloc 3978
gcc new 7268
icc new 1646
gcc malloc 2995
icc malloc 4509
gcc new 8926
icc new 1359
gcc malloc 3083
icc malloc 3500
gcc new 8366
icc new 1490
gcc malloc 3111
icc malloc 3631
gcc new 11046
icc new 1615
gcc malloc 3074
icc malloc 4022
gcc new 7286
icc new 1230
gcc malloc 3248
icc malloc 3772
gcc new 7512
icc new 2414
gcc malloc 3254
icc malloc 3655
gcc new 8020
icc new 1566
gcc malloc 3255
icc malloc 3493
gcc new 7466
icc new 1557
gcc malloc 3184
icc malloc 3820
gcc new 7160
icc new 1735
gcc malloc 3019
icc malloc 3753
gcc new 7372
icc new 1282
gcc malloc 3276
icc malloc 4567
gcc new 7758
icc new 1408
gcc malloc 3262
icc malloc 3582
gcc new 7377
icc new 1419
gcc malloc 3279
icc malloc 3515
gcc new 8274
icc new 1462
gcc malloc 3163
icc malloc 3970
gcc new 7339
icc new 1614
gcc malloc 3487
icc malloc 3792
gcc new 7724
icc new 1337
gcc malloc 3013
icc malloc 3447
gcc new 7674
icc new 1643
gcc malloc 3218
icc malloc 3680
gcc new 7500
icc new 1499
gcc malloc 3065
icc malloc 3530
gcc new 8304
icc new 1260
gcc malloc 3374
icc malloc 3774
gcc new 8289
icc new 1692
gcc malloc 3132
icc malloc 3992
gcc new 7931
icc new 1600
gcc malloc 3193
icc malloc 3649
gcc new 7757
icc new 1520
gcc malloc 3506
icc malloc 4992
gcc new 7537
icc new 1569
gcc malloc 3211
icc malloc 3511
gcc new 7843
icc new 1817
gcc malloc 3123
icc malloc 3637
gcc new 7501
icc new 1847
gcc malloc 3436
icc malloc 5130
gcc new 7543
icc new 1826
gcc malloc 2973
icc malloc 4762
gcc new 11645
icc new 1254
gcc malloc 3086
icc malloc 3555
gcc new 7550
icc new 1639
gcc malloc 3126
icc malloc 3444
gcc new 7421
icc new 1654
gcc malloc 3181
icc malloc 3674
gcc new 8121
icc new 1762
gcc malloc 3264
icc malloc 3832
gcc new 7681
icc new 1474
gcc malloc 3092
icc malloc 4114
gcc new 7917
icc new 1459
gcc malloc 3392
icc malloc 3817
gcc new 7815
icc new 1358
gcc malloc 2777
icc malloc 3854
gcc new 7962
icc new 1419
gcc malloc 3117
icc malloc 4349
gcc new 8027
icc new 2089
gcc malloc 2835
icc malloc 3588
gcc new 7188
icc new 1361
gcc malloc 3628
icc malloc 4949
gcc new 7852
icc new 1437
gcc malloc 3319
icc malloc 3671
gcc new 7745
icc new 1254
gcc malloc 3313
icc malloc 3530
gcc new 7999
icc new 2215
gcc malloc 2928
icc malloc 3943
gcc new 8329
icc new 1370
gcc malloc 3442
icc malloc 3741
gcc new 8127
icc new 1312
gcc malloc 3080
icc malloc 4860
gcc new 7840
icc new 1499
gcc malloc 4816
icc malloc 3870
gcc new 7426
icc new 1673
gcc malloc 4111
icc malloc 3474
gcc new 7194
icc new 1734
gcc malloc 3154
icc malloc 3508
gcc new 7299
icc new 1566
gcc malloc 3022
icc malloc 3704
gcc new 7268
icc new 1370
gcc malloc 3646
icc malloc 3796
gcc new 7274
icc new 1508
gcc malloc 3190
icc malloc 3490
gcc new 7091
icc new 1425
gcc malloc 3178
icc malloc 3710
gcc new 7528
icc new 1600
gcc malloc 2893
icc malloc 4986
gcc new 7677
icc new 1327
gcc malloc 3175
icc malloc 3575
gcc new 7381
icc new 1523
gcc malloc 3386
icc malloc 3955
gcc new 9430
icc new 1340
gcc malloc 3215
icc malloc 3612
gcc new 8283
icc new 1636
gcc malloc 3160
icc malloc 4888
gcc new 10785
icc new 2190
gcc malloc 3313
icc malloc 5261
gcc new 7834
icc new 1765
gcc malloc 3432
icc malloc 3491
gcc new 7784
icc new 1483
gcc malloc 2866
icc malloc 3863
gcc new 7659
icc new 1446
gcc malloc 3512
icc malloc 3659
gcc new 7625
icc new 1472
gcc malloc 3760
icc malloc 3668
gcc new 7460
icc new 1731
gcc malloc 3205
icc malloc 3989
gcc new 8287
icc new 1508
gcc malloc 3243
icc malloc 3655
gcc new 8430
icc new 1524
gcc malloc 3071
icc malloc 3680
gcc new 9125
icc new 1456
gcc malloc 3182
icc malloc 3359
gcc new 7727
icc new 1411
gcc malloc 3490
icc malloc 4240
gcc new 8424
icc new 1499
gcc malloc 2927
icc malloc 3392
gcc new 7454
icc new 1734
gcc malloc 3190
icc malloc 4469
gcc new 7760
icc new 1340
gcc malloc 3136
icc malloc 4906
gcc new 7959
icc new 1701
gcc malloc 3536
icc malloc 3579
gcc new 8934
icc new 1976
gcc malloc 3313
icc malloc 4295
gcc new 7754
icc new 1634
gcc malloc 2866
icc malloc 3673
gcc new 6962
icc new 1514
gcc malloc 3300
icc malloc 3347
gcc new 7472
icc new 1450
gcc malloc 2860
icc malloc 3536
gcc new 8326
icc new 1844
gcc malloc 2714
icc malloc 3371
gcc new 8351
icc new 1502
gcc malloc 3025
icc malloc 3701
gcc new 7568
icc new 1465
gcc malloc 3352
icc malloc 4034
gcc new 15548
icc new 1651
gcc malloc 3096
icc malloc 3515
gcc new 7497
icc new 1627
gcc malloc 3138
icc malloc 3818
gcc new 7161
icc new 1588
gcc malloc 3478
icc malloc 3698
gcc new 7848
icc new 1498
gcc malloc 4129
icc malloc 4065
gcc new 7827
icc new 2053
gcc malloc 3573
icc malloc 3708
gcc new 7568
icc new 1429
gcc malloc 3199
icc malloc 3778
gcc new 10140
icc new 1486
gcc malloc 3035
icc malloc 3508
gcc new 7681
icc new 1850
gcc malloc 3616
icc malloc 3854
gcc new 7690
icc new 1624
gcc malloc 3312
icc malloc 3613
gcc new 7065
icc new 1569
gcc malloc 3276
icc malloc 3563
gcc new 7766
icc new 2114
gcc malloc 3282
icc malloc 3511
gcc new 7573
icc new 1337
gcc malloc 3123
icc malloc 3606
gcc new 8280
icc new 1707
gcc malloc 3453
icc malloc 3417
gcc new 8295
icc new 1252
gcc malloc 3010
icc malloc 3414
gcc new 7442
icc new 1603
gcc malloc 3120
icc malloc 3726
gcc new 8868
icc new 1636
gcc malloc 3258
icc malloc 3527
gcc new 7388
icc new 1383
gcc malloc 2957
icc malloc 3750
gcc new 8434
icc new 2196
gcc malloc 3083
icc malloc 3505
gcc new 7834
icc new 1704
gcc malloc 3199
icc malloc 3860
gcc new 8390
icc new 1627
gcc malloc 3147
icc malloc 3264
gcc new 8128
